,name,start,end,college,lon,lat,loc,info,loc_type,desc
0,乙晓光,1974,1977,,115.47,38.87,河北省保定市保定市,保定,3,"1974.03—1977, 空军保定学校学习"
1,乙晓光,1977,1979,,116.4,39.9,北京市北京市北京市,东北,0,"1977—1979,东北空军飞行员、中队长"
2,乙晓光,1979,1989,,104.07,30.67,四川省成都市成都市,解放军,3,"1979—1989,某军区空军飞行大队长、成都军区空军司令部军训处射击主任、航空兵团团长（其间：1984—1986,解放军空军指挥学院学习）"
3,乙晓光,1989,1992,,102.72,25.05,云南省昆明市昆明市,空军航空兵,1,"1989—1992,成都军区云南空军航空兵训练基地政治部主任,航空兵师参谋长"
4,乙晓光,1992,1996,,116.4,39.9,北京市北京市北京市,空军,1,"1992—1996,空军航空飞行师师长"
5,乙晓光,1996,2003,,114.3,30.6,湖北省武汉市武汉市,武汉,3,"1996—2003.10,空军司令部军训部部长、云南航空兵训练基地司令员、成都军区空军副参谋长、空军武汉基地司令员、空军武汉指挥所主任"
6,乙晓光,2003,2004,,113.27,23.13,广东省广州市广州市,广州军区空军,3,"2003.10—2004.03,广州军区空军副参谋长"
7,乙晓光,2004,2008,,116.4,39.9,北京市北京市北京市,空军指挥学院,0,"2004.03—2008.03,空军指挥学院院长"
8,乙晓光,2008,2010,,116.4,39.9,北京市北京市北京市,空军,1,"2008.03—2010.12,空军副参谋长"
9,乙晓光,2010,2012,,118.78,32.07,江苏省南京市南京市,南京军区空军,3,"2010.12—2012.12,中国人民解放军南京军区副司令员兼南京军区空军司令员"
10,乙晓光,2012,2014,,116.4,39.9,北京市北京市北京市,中国人民解放军,0,"2012.12—2014.07,中国人民解放军总参谋长助理"
11,乙晓光,2014,2016,,116.4,39.9,北京市北京市北京市,中国人民解放军,0,"2014.07—2016.01,中国人民解放军副总参谋长"
12,乙晓光,2016,2018,,116.4,39.9,北京市北京市北京市,中国共产党,0,"2016.01—,中国共产党中央军事委员会联合参谋部副参谋长"
13,丁来杭,1957,2001,,116.4,39.9,北京市北京市北京市,空军航空兵,0,"—2001.12,历任空军航空兵第二十四师七十一团副团长、团长、副师长、北空训练基地司令员。"
14,丁来杭,2001,2003,,116.4,39.9,北京市北京市北京市,任空,1,"2001.12—2003.12,任空八军参谋长。"
15,丁来杭,2003,2007,,119.3,26.08,福建省福州市福州市,福州,3,"2003.12—2007.12,任空军福州指挥所司令员。"
16,丁来杭,2007,2009,,116.4,39.9,北京市北京市北京市,空军指挥学院,0,"2007.12—2009.1,任空军指挥学院院长。"
17,丁来杭,2009,2012,,104.07,30.67,四川省成都市成都市,成都军区,3,"2009.1—2012.8,任成都军区空军参谋长。"
18,丁来杭,2012,2016,,123.43,41.8,辽宁省沈阳市沈阳市,沈阳军区,3,"2012.8—2016.2,任沈阳军区副司令员兼军区空军司令员。"
19,丁来杭,2016,2017,,116.4,39.9,北京市北京市北京市,中国人民解放军,0,"2016.2—2017.8,任中国人民解放军北部战区空军司令员。"
20,丁来杭,2017,2018,,116.4,39.9,北京市北京市北京市,中国人民解放军空军,0,"2017.8—,任中国人民解放军空军司令员。"
21,丁学东,1987,1991,,116.4,39.9,北京市北京市北京市,财政部,0,"1987—1991,财政部工业交通财务司调研处副处长；"
22,丁学东,1991,1994,,116.4,39.9,北京市北京市北京市,财政部,0,"1991—1994,财政部工业交通财务司调研处处长；"
23,丁学东,1994,1997,,116.4,39.9,北京市北京市北京市,国有资产管理局,0,"1994—1997,国家国有资产管理局办公室主任兼人事教育司司长；"
24,丁学东,1997,1998,,116.4,39.9,北京市北京市北京市,国有资产管理局,0,"1997—1998,国家国有资产管理局产权司司长；"
25,丁学东,1998,2000,,116.4,39.9,北京市北京市北京市,财政部,0,"1998—2000,财政部国有资本金基础管理司司长；"
26,丁学东,2000,2005,,116.4,39.9,北京市北京市北京市,财政部,0,"2000—2005,财政部农业司司长（其间：2003.03—2004.03挂职任三峡总公司财务部副总经理）；"
27,丁学东,2005,2006,,116.4,39.9,北京市北京市北京市,财政部,0,"2005.08—2006.11,财政部教科文司司长；"
28,丁学东,2006,2008,,116.4,39.9,北京市北京市北京市,财政部,0,"2006.11—2008.03,财政部部长助理、党组成员；"
29,丁学东,2008,2010,,116.4,39.9,北京市北京市北京市,财政部,0,"2008.03—2010.05,财政部副部长、党组成员。分管农业司、企业司、监督检查局、国家农业综合开发办公室、中国资产评估协会、财政部驻各地财政监察专员办事处等。"
30,丁学东,2010,2013,,116.4,39.9,北京市北京市北京市,国务院,0,"2010.05—2013.07,国务院副秘书长,全国双拥工作领导小组副组长（兼）。（2013.05——今,国家减灾委员会副主任。）"
31,丁学东,2013,2014,,116.4,39.9,北京市北京市北京市,中国,0,"2013.07—2014.10,中国投资有限责任公司董事长兼首席执行官。"
32,丁学东,2014,2017,,116.4,39.9,北京市北京市北京市,中国,0,"2014.10—2017.02,中国投资有限责任公司董事长兼首席执行官,中金公司董事、董事长."
33,丁学东,2017,2018,,116.4,39.9,北京市北京市北京市,国务院,0,2017.02—国务院副秘书长（正部长级）
34,丁学东,2017,2018,,116.4,39.9,北京市北京市北京市,央行,1,2017.03—央行货币政策委员会委员。
35,丁薛祥,1978,1982,,116.4,39.9,北京市北京市北京市,东北,0,"1978—1982,东北重型机械学院机械工程系锻压工艺及设备专业学习"
36,丁薛祥,1982,1984,,121.47,31.23,上海市上海市上海市,上海,3,"1982—1984,上海材料研究所九室科研人员"
37,丁薛祥,1984,1988,,121.47,31.23,上海市上海市上海市,上海,3,"1984—1988,上海材料研究所办公室副主任、团委书记"
38,丁薛祥,1988,1992,,121.47,31.23,上海市上海市上海市,上海,3,"1988—1992,上海材料研究所办公室主任、宣传部主任"
39,丁薛祥,1992,1994,,121.47,31.23,上海市上海市上海市,青,3,"1992—1994,上海材料研究所九室主任（其间：1993.09—1993.12,上海市委党校中青干部培训班学习）"
40,丁薛祥,1994,1996,,121.47,31.23,上海市上海市上海市,上海,3,"1994—1996,上海材料研究所副所长"
41,丁薛祥,1989,1994,复旦大学,116.4,39.9,北京市北京市北京市,复旦大学,1,"1989—1994,复旦大学管理学院行政管理专业在职研究生学习,获理学硕士学位"
42,丁薛祥,1996,1999,,121.47,31.23,上海市上海市上海市,上海,3,"1996—1999,上海材料研究所党委副书记、所长"
43,丁薛祥,1999,2001,,121.47,31.23,上海市上海市上海市,上海市科委,3,"1999—2001,上海市科委副主任（正局级）"
44,丁薛祥,2001,2004,,121.45,31.25,上海市上海市闸北区,闸北区,3,"2001—2004,上海市闸北区委副书记、代区长、区长"
45,丁薛祥,2004,2006,,121.47,31.23,上海市上海市上海市,上海市委,3,"2004—2006,上海市委组织部副部长,市人事局局长、党组书记,市编办主任,市委党校副校长、校委会副主任,市行政学院副院长"
46,丁薛祥,2006,2007,,121.47,31.23,上海市上海市上海市,上海市委,3,"2006—2007,上海市委副秘书长、办公厅主任,市级机关工作党委书记"
47,丁薛祥,2007,2012,,121.47,31.23,上海市上海市上海市,上海,3,"2007—2012,上海市委常委、秘书长"
48,丁薛祥,2012,2013,,121.47,31.23,上海市上海市上海市,上海,3,"2012—2013,上海市委常委、政法委书记"
49,丁薛祥,2013,2015,,116.4,39.9,北京市北京市北京市,中央办公厅,0,"2013—2015,中央办公厅副主任兼国家主席办公室主任"
50,丁薛祥,2015,2017,,116.4,39.9,北京市北京市北京市,中央办公厅,0,"2015—2017,中央办公厅主持常务工作的副主任（正部长级）兼国家主席办公室主任"
51,丁薛祥,2017,2018,,116.4,39.9,北京市北京市北京市,中央政治局,0,"2017—　中央政治局委员、中央书记处书记,中央办公厅主任兼国家主席办公室主任,中央直属机关工委书记"
52,于伟国,1973,1973,,121.1,31.45,江苏省苏州市太仓市,长江,3,"1973.01—1973.07,江苏省太仓县长江化工厂工人"
53,于伟国,1973,1977,,121.1,31.45,江苏省苏州市太仓市,太仓县,3,"1973.07—1977.07,江苏省太仓县布厂工人、干部、党支部副书记"
54,于伟国,1977,1979,,121.1,31.45,江苏省苏州市太仓市,城厢镇,3,"1977.07—1979.09,江苏省太仓县城厢镇团委书记"
55,于伟国,1979,1983,中国人民大学,116.4,39.9,北京市北京市北京市,中国,0,"1979.09—1983.07,中国人民大学中国语言文学系中国文学专业学习"
56,于伟国,1983,1985,,116.4,39.9,北京市北京市北京市,中央书记处,0,"1983.07—1985.12,中央书记处研究室干部"
57,于伟国,1985,1987,,116.4,39.9,北京市北京市北京市,中央书记处,0,"1985.12—1987.10,中央书记处研究室简报组副处级调研员"
58,于伟国,1987,1991,,116.4,39.9,北京市北京市北京市,中央文献,1,"1987.10—1991.05,中央文献研究室综合研究组编辑、邓小平研究组生平小组副组长"
59,于伟国,1991,1995,,116.4,39.9,北京市北京市北京市,中央办公厅,0,"1991.05—1995.08,中央办公厅秘书局秘书（1992.01明确为正处长级,1994.10明确为副局级）"
60,于伟国,1995,1999,厦门大学,118.08,24.48,福建省厦门市厦门市,厦门市,3,"1995.08—1999.05,福建省厦门市市长助理（挂职）（其间：1996.11—1997.11,厦门大学世界经济专业研究生课程班学习）"
61,于伟国,1999,1999,,118.08,24.48,福建省厦门市厦门市,厦门市,3,"1999.05—1999.11,福建省厦门市副市长"
62,于伟国,1999,2001,,118.08,24.48,福建省厦门市厦门市,厦门,3,"1999.11—2001.09,福建省厦门市委常委、秘书长"
63,于伟国,2001,2002,,118.08,24.48,福建省厦门市厦门市,厦门,3,"2001.09—2002.05,福建省厦门市委常委、组织部部长"
64,于伟国,2002,2005,,118.08,24.48,福建省厦门市厦门市,厦门市委,3,"2002.05—2005.01,福建省厦门市委副书记、组织部部长"
65,于伟国,2005,2006,,119.3,26.08,福建省福州市福州市,福建省委,1,"2005.01—2006.08,福建省委组织部副部长（正厅长级）"
66,于伟国,2006,2006,,119.3,26.08,福建省福州市福州市,福建省委,1,"2006.08—2006.11,福建省委组织部部长"
67,于伟国,2006,2009,,119.3,26.08,福建省福州市福州市,福建,1,"2006.11—2009.06,福建省委常委、组织部部长"
68,于伟国,2009,2009,,118.08,24.48,福建省厦门市厦门市,厦门市委,3,"2009.06—2009.07,福建省委常委、组织部部长,厦门市委书记[1]"
69,于伟国,2009,2010,,118.08,24.48,福建省厦门市厦门市,厦门市委,3,"2009.07—2010.01,福建省委常委、厦门市委书记"
70,于伟国,2010,2012,,118.08,24.48,福建省厦门市厦门市,人大常委会,3,"2010.01—2012.01,福建省委常委,厦门市委书记、市人大常委会主任[2]"
71,于伟国,2012,2013,,118.08,24.48,福建省厦门市厦门市,厦门市委,3,"2012.01—2013.04,福建省委常委、厦门市委书记"
72,于伟国,2013,2013,,118.08,24.48,福建省厦门市厦门市,厦门市委,3,"2013.04—2013.05,福建省委副书记、厦门市委书记"
73,于伟国,2013,2015,,119.3,26.08,福建省福州市福州市,福建省委,1,"2013.05—2015.11,福建省委副书记"
74,于伟国,2015,2016,,119.3,26.08,福建省福州市福州市,福建省委,1,"2015.11—2016.01,福建省委副书记、代省长"
